img_no,img_path,property_age_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
8098,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008098.jpg,0.0015,0.0037,0.0025,0.0011,0.0,0.0002
8099,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008099.jpg,0.0041,0.0071,0.0104,0.0007,0.0007,0.0018
8100,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008100.jpg,0.0001,0.0001,0.0003,0.0001,0.0,0.0001
8101,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008101.jpg,0.0048,0.0059,0.0099,0.0015,0.0002,0.0066
8102,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008102.jpg,0.0008,0.0018,0.0012,0.0004,0.0002,0.0006
8103,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008103.jpg,0.0006,0.001,0.0011,0.0003,0.0001,0.0006
8104,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008104.jpg,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001
8105,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008105.jpg,0.0386,0.0427,0.0294,0.0453,0.0178,0.0579
8106,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008106.jpg,0.0005,0.0006,0.0016,0.0002,0.0001,0.0003
8107,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008107.jpg,0.0095,0.0303,0.0036,0.0059,0.0063,0.0014
8108,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008108.jpg,0.0081,0.014,0.0165,0.0038,0.0011,0.005
8109,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008109.jpg,0.0016,0.0004,0.0053,0.0019,0.0,0.0004
8110,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008110.jpg,0.0158,0.0419,0.0254,0.0029,0.0015,0.0073
8111,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008111.jpg,0.0094,0.016,0.0154,0.0079,0.0005,0.0073
8112,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008112.jpg,0.0014,0.0013,0.004,0.0008,0.0005,0.0005
8113,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008113.jpg,0.0817,0.0217,0.0898,0.0279,0.2633,0.0056
8114,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008114.jpg,0.0142,0.0203,0.0283,0.0112,0.0044,0.0065
8115,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008115.jpg,0.0026,0.0074,0.0029,0.0007,0.001,0.0008
8116,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008116.jpg,0.0739,0.144,0.0647,0.0721,0.0427,0.046
8117,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008117.jpg,0.0167,0.0481,0.021,0.0043,0.0005,0.0096
8118,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008118.jpg,0.0025,0.0036,0.0039,0.0002,0.0021,0.0029
8119,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008119.jpg,0.0035,0.0051,0.0016,0.002,0.0018,0.0067
8120,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008120.jpg,0.0004,0.0008,0.0009,0.0003,0.0,0.0001
8121,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008121.jpg,0.0883,0.1009,0.1608,0.141,0.0242,0.0145
8122,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008122.jpg,0.0641,0.0428,0.0796,0.0637,0.1261,0.0083
8123,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008123.jpg,0.0093,0.0095,0.0124,0.0104,0.0083,0.006
8124,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008124.jpg,0.0054,0.0106,0.0059,0.0015,0.0073,0.0014
8125,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008125.jpg,0.077,0.0992,0.1118,0.099,0.0447,0.0305
8126,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008126.jpg,0.0068,0.0115,0.0011,0.0018,0.0088,0.0107
8127,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008127.jpg,0.0034,0.0046,0.0062,0.0022,0.0014,0.0023
8128,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008128.jpg,0.0012,0.0019,0.0003,0.0011,0.0001,0.0025
8129,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008129.jpg,0.0019,0.0022,0.0004,0.0022,0.0002,0.0045
8130,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008130.jpg,0.0463,0.0237,0.0188,0.127,0.012,0.0498
8131,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008131.jpg,0.0023,0.0042,0.0028,0.0023,0.001,0.0013
8132,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008132.jpg,0.0137,0.0174,0.0352,0.0074,0.0009,0.0075
8133,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008133.jpg,0.0014,0.0013,0.0014,0.001,0.0006,0.0025
8134,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008134.jpg,0.0025,0.0061,0.0014,0.0015,0.001,0.0025
8135,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008135.jpg,0.0232,0.0258,0.0491,0.0052,0.008,0.0279
8136,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008136.jpg,0.1189,0.1155,0.0133,0.2218,0.0389,0.2051
8137,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008137.jpg,0.4275,0.3509,0.3977,0.538,0.6354,0.2155
8138,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008138.jpg,0.0014,0.0031,0.0016,0.0007,0.0004,0.001
8139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008139.jpg,0.0052,0.0122,0.0037,0.0032,0.0039,0.0029
8140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008140.jpg,0.0041,0.017,0.0005,0.0015,0.0008,0.0008
8141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008141.jpg,0.0359,0.0448,0.0236,0.021,0.0585,0.0318
8142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008142.jpg,0.0013,0.0015,0.0018,0.0013,0.0001,0.0017
8143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008143.jpg,0.0005,0.0012,0.001,0.0003,0.0,0.0001
8144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008144.jpg,0.0478,0.1029,0.0282,0.0712,0.0082,0.0288
8145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008145.jpg,0.0055,0.0101,0.0101,0.0031,0.0001,0.0038
8146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008146.jpg,0.0007,0.0001,0.0026,0.0006,0.0,0.0002
8147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008147.jpg,0.0006,0.0006,0.0007,0.0007,0.0003,0.0008
8148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008148.jpg,0.0047,0.0149,0.004,0.0015,0.0015,0.0016
8149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008149.jpg,0.0006,0.0006,0.0004,0.0004,0.0003,0.0014
8150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008150.jpg,0.0014,0.0024,0.0007,0.0015,0.0014,0.0013
8151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008151.jpg,0.0081,0.0151,0.0035,0.0026,0.0121,0.0074
8152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008152.jpg,0.0005,0.0004,0.0004,0.0007,0.0001,0.0011
8153,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008153.jpg,0.0098,0.0217,0.0081,0.0046,0.0032,0.0114
8154,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008154.jpg,0.0019,0.0037,0.0037,0.0007,0.0003,0.0008
8155,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008155.jpg,0.0083,0.0148,0.0073,0.0096,0.0025,0.0075
8156,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008156.jpg,0.0028,0.0021,0.0041,0.0024,0.0019,0.0036
8157,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008157.jpg,0.0007,0.0016,0.0009,0.0003,0.0,0.0007
8158,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008158.jpg,0.006,0.0137,0.0119,0.0023,0.0009,0.0014
8159,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008159.jpg,0.0106,0.017,0.0214,0.0055,0.0006,0.0083
8160,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008160.jpg,0.006,0.0052,0.0121,0.0044,0.0069,0.0016
8161,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008161.jpg,0.0013,0.0016,0.0026,0.0011,0.0002,0.001
8162,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008162.jpg,0.0998,0.1843,0.1426,0.1246,0.0285,0.019
8163,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008163.jpg,0.0023,0.003,0.0061,0.0009,0.0006,0.001
8164,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008164.jpg,0.0037,0.0105,0.0046,0.0016,0.0006,0.0013
8165,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008165.jpg,0.0312,0.092,0.0102,0.0147,0.0127,0.0267
8166,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008166.jpg,0.0068,0.0231,0.003,0.0041,0.0019,0.002
8167,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008167.jpg,0.0137,0.0271,0.014,0.0113,0.0094,0.0069
8168,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008168.jpg,0.0115,0.0262,0.0083,0.0056,0.0068,0.0108
8169,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008169.jpg,0.0006,0.0008,0.0012,0.0003,0.0001,0.0005
8170,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008170.jpg,0.1376,0.1057,0.0519,0.0315,0.1014,0.3973
8171,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008171.jpg,0.243,0.1215,0.1816,0.1488,0.7521,0.0109
8172,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008172.jpg,0.535,0.5701,0.4801,0.8684,0.4156,0.3406
8173,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008173.jpg,0.0046,0.0043,0.0144,0.0026,0.0005,0.0015
8174,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008174.jpg,0.0014,0.0016,0.0005,0.0022,0.0016,0.0011
8175,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008175.jpg,0.0083,0.0204,0.0132,0.0019,0.0029,0.0034
8176,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008176.jpg,0.0024,0.0041,0.0014,0.0012,0.0016,0.0037
8177,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008177.jpg,0.0036,0.0067,0.0053,0.0018,0.0024,0.0019
8178,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008178.jpg,0.7855,0.8574,0.7636,0.9108,0.9767,0.419
8179,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008179.jpg,0.0037,0.0029,0.009,0.0024,0.0003,0.0036
8180,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008180.jpg,0.0029,0.0032,0.0059,0.0039,0.0009,0.0006
8181,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008181.jpg,0.0006,0.0009,0.0008,0.0002,0.0001,0.001
8182,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008182.jpg,0.1343,0.2428,0.1837,0.1297,0.1071,0.0084
8183,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008183.jpg,0.427,0.392,0.4466,0.4198,0.8401,0.0364
8184,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008184.jpg,0.0083,0.02,0.0138,0.0047,0.0004,0.0025
8185,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008185.jpg,0.0004,0.0007,0.0005,0.0005,0.0,0.0002
8186,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008186.jpg,0.0128,0.0263,0.0095,0.0112,0.0079,0.009
8187,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008187.jpg,0.0018,0.004,0.0014,0.0007,0.0011,0.0017
8188,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008188.jpg,0.1334,0.0227,0.0493,0.009,0.5807,0.0053
8189,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008189.jpg,0.1785,0.4203,0.0453,0.0648,0.2207,0.1414
8190,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008190.jpg,0.0173,0.0238,0.0271,0.0033,0.0202,0.0121
8191,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008191.jpg,0.0039,0.0081,0.0061,0.0032,0.0008,0.0013
8192,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008192.jpg,0.0053,0.0089,0.0051,0.0045,0.0008,0.0074
8193,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008193.jpg,0.0056,0.0088,0.0039,0.0018,0.0031,0.0101
8194,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008194.jpg,0.0029,0.0038,0.001,0.0014,0.004,0.0044
8195,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008195.jpg,0.0012,0.0024,0.0005,0.0011,0.0002,0.0019
8196,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008196.jpg,0.0137,0.0188,0.0173,0.0125,0.0146,0.0053
8197,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008197.jpg,0.0067,0.0193,0.0077,0.0016,0.0008,0.004
8198,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008198.jpg,0.0069,0.0066,0.0172,0.0026,0.0002,0.0079
8199,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008199.jpg,0.0026,0.0038,0.0042,0.0009,0.003,0.001
8200,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008200.jpg,0.0013,0.0023,0.0018,0.0015,0.0003,0.0006
8201,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008201.jpg,0.0092,0.0166,0.0013,0.0052,0.0149,0.0081
8202,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008202.jpg,0.003,0.0061,0.0019,0.0021,0.0003,0.0045
8203,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008203.jpg,0.0105,0.0072,0.0042,0.0012,0.0184,0.0216
8204,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008204.jpg,0.2299,0.1214,0.4269,0.1525,0.3289,0.1198
8205,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008205.jpg,0.0055,0.0065,0.0039,0.0096,0.0003,0.007
8206,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008206.jpg,0.0482,0.1334,0.04,0.0173,0.0339,0.0166
8207,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008207.jpg,0.0045,0.0052,0.0028,0.0037,0.0047,0.0061
8208,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008208.jpg,0.0009,0.0012,0.0016,0.0006,0.0009,0.0005
8209,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008209.jpg,0.0099,0.0208,0.0038,0.0118,0.0071,0.0061
8210,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008210.jpg,0.0077,0.0129,0.0103,0.0075,0.0049,0.0027
8211,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008211.jpg,0.0531,0.0989,0.1116,0.0303,0.0065,0.0182
8212,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008212.jpg,0.0018,0.0026,0.0008,0.0024,0.0003,0.0028
8213,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008213.jpg,0.1404,0.5111,0.0598,0.0355,0.0591,0.0363
8214,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008214.jpg,0.0011,0.0016,0.0016,0.0004,0.0001,0.0016
8215,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008215.jpg,0.0006,0.0009,0.0016,0.0003,0.0001,0.0003
8216,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008216.jpg,0.0495,0.0491,0.0289,0.0505,0.0749,0.0439
8217,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008217.jpg,0.0002,0.0002,0.0003,0.0002,0.0,0.0004
8218,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008218.jpg,0.0109,0.0308,0.0039,0.0053,0.0057,0.0089
8219,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008219.jpg,0.06,0.076,0.0161,0.0447,0.0393,0.1236
8220,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008220.jpg,0.003,0.0026,0.0074,0.002,0.0009,0.0019
8221,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008221.jpg,0.0025,0.0059,0.0035,0.0011,0.0005,0.0015
8222,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008222.jpg,0.0011,0.0012,0.0012,0.0009,0.0002,0.0019
8223,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008223.jpg,0.1968,0.3939,0.1595,0.2689,0.075,0.0865
8224,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008224.jpg,0.0239,0.0371,0.0364,0.0093,0.0007,0.0363
8225,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008225.jpg,0.0034,0.0053,0.0047,0.0021,0.0026,0.002
8226,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008226.jpg,0.0005,0.001,0.0006,0.0001,0.0003,0.0006
8227,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008227.jpg,0.0205,0.0192,0.0233,0.0078,0.0031,0.0493
8228,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008228.jpg,0.0011,0.0017,0.001,0.0011,0.0005,0.001
8229,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008229.jpg,0.3618,0.6473,0.4907,0.3302,0.0886,0.2521
8230,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008230.jpg,0.0056,0.0089,0.005,0.0008,0.0032,0.0099
8231,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008231.jpg,0.0025,0.0036,0.0028,0.0014,0.0023,0.0024
8232,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008232.jpg,0.0084,0.0172,0.013,0.0082,0.0006,0.0032
8233,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008233.jpg,0.0014,0.0014,0.0009,0.0012,0.0007,0.0027
8234,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008234.jpg,0.0831,0.1084,0.1826,0.0464,0.021,0.0571
8235,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008235.jpg,0.0277,0.0176,0.0372,0.0112,0.0064,0.0664
8236,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008236.jpg,0.0187,0.0204,0.009,0.0197,0.0018,0.0427
8237,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008237.jpg,0.0054,0.0043,0.016,0.0044,0.0002,0.0022
8238,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008238.jpg,0.0121,0.0157,0.0272,0.0066,0.0004,0.0106
8239,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008239.jpg,0.0013,0.0028,0.0008,0.0011,0.0009,0.0007
8240,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008240.jpg,0.0045,0.0034,0.006,0.0115,0.0013,0.0004
8241,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008241.jpg,0.0114,0.0123,0.0038,0.0049,0.0199,0.0163
8242,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008242.jpg,0.0352,0.024,0.0513,0.0255,0.0684,0.0069
8243,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008243.jpg,0.0118,0.0073,0.0424,0.0046,0.0017,0.0031
8244,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008244.jpg,0.3291,0.2271,0.4998,0.4366,0.4321,0.0501
8245,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008245.jpg,0.026,0.0604,0.0383,0.0182,0.0034,0.0098
8246,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008246.jpg,0.0065,0.0182,0.0055,0.0028,0.0014,0.0045
8247,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008247.jpg,0.0005,0.0009,0.0009,0.0003,0.0,0.0006
8248,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008248.jpg,0.0261,0.0329,0.0411,0.0112,0.0018,0.0434
8249,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008249.jpg,0.0092,0.021,0.002,0.0071,0.0035,0.0126
8250,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008250.jpg,0.0021,0.004,0.0023,0.0023,0.0004,0.0015
8251,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008251.jpg,0.0055,0.0067,0.0119,0.0058,0.0008,0.0023
8252,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008252.jpg,0.0033,0.0035,0.0019,0.0014,0.001,0.0088
8253,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008253.jpg,0.0006,0.0015,0.0012,0.0002,0.0002,0.0002
8254,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/008254.jpg,0.0006,0.0013,0.0008,0.0001,0.0001,0.0008
