img_no,img_path,eyes_v2,eyes_v2_cnn,eyes_diff,hair_color_v2,hair_color_v2_cnn,hair_color_diff,hair_length_v2,hair_length_v2_cnn,hair_length_diff,mouth_v2,mouth_v2_cnn,mouth_diff,pose_v2,pose_v2_cnn,pose_diff,background_mean_v2,background_mean_v2_cnn,background_mean_diff,background_std_v2,background_std_v2_cnn,background_std_diff
5290,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005290.jpg,0.401,0.5941,0.1931,2.0633,1.8457,0.2176,0.8061,0.8356,0.0295,-0.9271,-1.0125,0.0854,-0.0068,-0.3841,0.3773,-0.6403,-0.5308,0.1095,-0.6569,-0.7953,0.1384
5291,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005291.jpg,-0.7632,-0.8838,0.1206,0.5756,0.4898,0.0858,-0.6148,-0.4028,0.212,0.6543,0.5618,0.0925,0.9101,0.8629,0.0472,0.9955,1.1017,0.1062,-0.4388,-0.3674,0.0714
5297,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005297.jpg,0.6897,0.4965,0.1932,-0.5037,-0.6205,0.1168,0.7687,0.7061,0.0626,-1.0138,-0.9612,0.0526,-0.307,-0.31,0.003,-0.648,-0.8618,0.2138,-0.3244,-0.2209,0.1035
5298,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005298.jpg,-0.0295,0.268,0.2975,1.3662,1.2943,0.0719,1.0024,1.0984,0.096,-1.0138,-0.9449,0.0689,0.4645,0.3301,0.1344,0.3661,0.4247,0.0586,-0.5834,-0.4615,0.1219
5301,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005301.jpg,-0.0307,0.0373,0.068,-1.1417,-1.2731,0.1314,0.8809,1.0563,0.1754,1.6302,1.1411,0.4891,-0.5023,-0.4285,0.0738,0.3296,0.2868,0.0428,2.5163,1.9625,0.5538
5303,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005303.jpg,-2.1975,-1.8006,0.3969,-1.1454,-1.5263,0.3809,0.8248,0.5849,0.2399,1.2483,1.1503,0.098,-0.0165,-0.0993,0.0828,-1.1167,-1.2439,0.1272,-0.2049,-0.6322,0.4273
5307,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005307.jpg,0.6744,0.5947,0.0797,-0.0781,-0.1056,0.0275,1.2455,1.0346,0.2109,0.6169,0.4407,0.1762,0.9071,0.858,0.0491,-1.4611,-1.2441,0.217,-0.3859,-0.4466,0.0607
5308,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005308.jpg,-1.4717,-1.7516,0.2799,-0.776,-0.5472,0.2288,0.5724,0.2691,0.3033,1.543,1.5417,0.0013,0.3256,0.0951,0.2305,0.9343,0.8973,0.037,2.4538,2.4611,0.0073
5309,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005309.jpg,-0.7511,-0.5606,0.1905,-1.3457,-1.4972,0.1515,0.2265,0.5336,0.3071,-1.0138,-0.8821,0.1317,-0.0718,-0.0627,0.0091,0.9148,0.4472,0.4676,-0.3336,0.0893,0.4229
5310,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005310.jpg,1.345,1.255,0.09,-0.4194,-0.4216,0.0022,0.1424,0.0857,0.0567,-1.0138,-0.9072,0.1066,0.1616,0.2605,0.0989,0.9765,0.9715,0.005,-0.4883,-0.3977,0.0906
5313,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005313.jpg,2.0519,2.2526,0.2007,-0.4651,-0.4946,0.0295,-2.0732,-1.9751,0.0981,-1.0138,-1.0552,0.0414,-0.5553,-0.6538,0.0985,0.6858,0.8333,0.1475,0.7021,0.7883,0.0862
5314,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005314.jpg,0.6563,0.9211,0.2648,1.0195,1.0408,0.0213,0.8342,0.8219,0.0123,-1.0138,-0.9534,0.0604,-0.053,-0.151,0.098,0.1525,0.2107,0.0582,-0.8275,-0.9124,0.0849
5315,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005315.jpg,-0.7833,-0.6299,0.1534,-0.8942,-0.9442,0.05,-2.3911,-2.1727,0.2184,1.6145,1.6863,0.0718,-0.4507,-0.4288,0.0219,-0.5068,-0.228,0.2788,-0.319,-0.4407,0.1217
5317,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005317.jpg,0.6563,1.0234,0.3671,0.9815,0.8123,0.1692,-0.11,-0.2323,0.1223,-0.2217,-0.1898,0.0319,0.2005,0.2497,0.0492,1.5866,1.6705,0.0839,-0.8537,-0.5875,0.2662
5318,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005318.jpg,0.6533,0.2886,0.3647,0.3589,0.3244,0.0345,1.2548,1.2992,0.0444,1.028,1.0044,0.0236,-0.2544,-0.2531,0.0013,-0.2521,-0.2581,0.006,0.8267,0.582,0.2447
5321,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005321.jpg,-0.0424,-0.2391,0.1967,-1.3915,-1.3077,0.0838,-2.7089,-2.3725,0.3364,-1.0138,-0.8067,0.2071,0.0357,0.1622,0.1265,-1.0126,-0.9919,0.0207,-0.1259,0.0349,0.1608
5327,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005327.jpg,2.0882,1.7549,0.3333,0.0902,0.0489,0.0413,-2.9146,-2.5122,0.4024,-0.4508,-0.7224,0.2716,-0.8559,-0.7122,0.1437,0.7442,0.4026,0.3416,1.0932,1.1211,0.0279
5328,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005328.jpg,-0.0453,-0.0123,0.033,0.175,0.0955,0.0795,-0.9701,-0.6421,0.328,-0.7632,-0.8286,0.0654,-0.2904,-0.2427,0.0477,1.3985,1.6908,0.2923,-0.942,-1.012,0.07
5330,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005330.jpg,-0.047,-0.3843,0.3373,0.1521,0.1018,0.0503,0.6939,0.6162,0.0777,0.9196,1.0757,0.1561,-0.7047,-0.7363,0.0316,-1.1495,-1.0553,0.0942,-0.7896,-0.9772,0.1876
5334,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005334.jpg,-1.4705,-1.6664,0.1959,-0.5533,-0.5536,0.0003,0.1985,0.2875,0.089,0.1676,0.1345,0.0331,0.7316,0.6322,0.0994,0.8027,0.7464,0.0563,0.2919,0.1501,0.1418
5337,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005337.jpg,-1.5117,-1.2408,0.2709,0.0924,0.1036,0.0112,-1.0262,-1.2725,0.2463,-1.0138,-0.8841,0.1297,-0.7362,-0.9144,0.1782,-0.2442,-0.3564,0.1122,-0.2422,-0.2812,0.039
5340,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005340.jpg,-1.4714,-1.9877,0.5163,1.9482,1.8899,0.0583,-0.5588,-0.4368,0.122,1.5827,1.5006,0.0821,-0.2247,-0.3514,0.1267,-1.2476,-1.0427,0.2049,-0.0719,-0.0595,0.0124
5344,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005344.jpg,-0.0453,-0.4477,0.4024,-0.7378,-0.8132,0.0754,0.2359,0.24,0.0041,1.1879,1.1076,0.0803,-0.7432,-0.6672,0.076,-1.1721,-0.9573,0.2148,2.4844,2.9214,0.437
5357,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005357.jpg,-0.03,0.087,0.117,-0.8241,-0.7022,0.1219,-0.0259,0.1127,0.1386,-1.0138,-0.9676,0.0462,0.5211,0.6518,0.1307,1.2718,1.4569,0.1851,-0.0728,-0.2941,0.2213
5358,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005358.jpg,-0.747,-0.6209,0.1261,0.0188,0.1052,0.0864,0.909,1.0169,0.1079,1.2237,1.055,0.1687,-0.2463,-0.1997,0.0466,-0.6345,-0.615,0.0195,-0.7878,-0.3602,0.4276
5359,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005359.jpg,0.6591,0.7342,0.0751,-0.6981,-0.8052,0.1071,0.8903,0.9555,0.0652,0.8036,0.6064,0.1972,0.0366,-0.1065,0.1431,-1.4973,-1.4223,0.075,-0.8274,-1.1278,0.3004
5360,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005360.jpg,-0.7511,-0.7984,0.0473,0.4932,0.3385,0.1547,0.5724,0.5593,0.0131,1.0329,0.9294,0.1035,-0.5314,-0.5083,0.0231,1.3004,0.955,0.3454,-0.2749,0.0948,0.3697
5363,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005363.jpg,1.4006,1.3105,0.0901,0.1103,-0.1023,0.2126,0.1985,0.1606,0.0379,-0.1232,-0.1055,0.0177,-0.4927,-0.6722,0.1795,-1.5311,-1.531,0.0001,-0.8657,-1.0284,0.1627
5365,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005365.jpg,-0.0437,-0.5081,0.4644,-0.887,-0.9304,0.0434,-0.1007,-0.0087,0.092,-0.1323,-0.1309,0.0014,2.2824,2.2319,0.0505,-1.0004,-0.822,0.1784,-0.7402,-0.5545,0.1857
5370,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005370.jpg,-0.0412,0.1258,0.167,-0.1527,-0.1967,0.044,0.2078,0.1299,0.0779,-1.0138,-0.7647,0.2491,-0.4262,-0.5064,0.0802,-0.1389,-0.1023,0.0366,-0.2742,-0.406,0.1318
5371,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005371.jpg,-0.1656,0.2431,0.4087,-0.0648,-0.0942,0.0294,-1.3066,-1.8466,0.54,-0.8164,-0.9375,0.1211,0.3885,0.3078,0.0807,-0.1027,-0.2183,0.1156,-0.5147,-0.5234,0.0087
5372,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005372.jpg,-0.7588,-0.6119,0.1469,-1.2468,-1.3854,0.1386,0.3574,0.4021,0.0447,-1.0138,-1.0421,0.0283,-0.0147,-0.0855,0.0708,-0.8243,-0.9341,0.1098,-0.334,-0.4824,0.1484
5373,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005373.jpg,0.676,0.7331,0.0571,-1.2686,-1.2486,0.02,0.4322,0.3404,0.0918,-1.0138,-1.199,0.1852,-0.4264,-0.4323,0.0059,-0.8586,-0.9208,0.0622,-0.555,-0.7644,0.2094
5374,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005374.jpg,-0.7514,-1.1932,0.4418,2.2246,2.2523,0.0277,1.0398,0.8939,0.1459,0.4079,0.443,0.0351,-0.6087,-0.6483,0.0396,0.868,0.8268,0.0412,0.4658,0.4007,0.0651
5375,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005375.jpg,0.2651,0.2928,0.0277,-0.8749,-1.0874,0.2125,-0.7083,-0.661,0.0473,0.9248,0.8271,0.0977,2.1218,2.0103,0.1115,1.1654,1.391,0.2256,-0.5484,-0.8341,0.2857
5378,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005378.jpg,-1.5117,-1.7056,0.1939,0.4925,0.626,0.1335,0.2826,0.2673,0.0153,1.4434,1.1679,0.2755,0.4226,0.334,0.0886,0.2849,0.1732,0.1117,0.3807,0.0616,0.3191
5379,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005379.jpg,0.6533,1.188,0.5347,-0.3302,-0.771,0.4408,0.9557,1.054,0.0983,-1.0138,-1.0941,0.0803,0.0913,0.0201,0.0712,-0.0425,-0.0766,0.0341,-0.3608,0.6109,0.9717
5384,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005384.jpg,2.0882,2.107,0.0188,0.431,0.4215,0.0095,0.3293,0.4927,0.1634,-0.1723,-0.1713,0.001,-0.7974,-0.7208,0.0766,0.9459,1.1016,0.1557,-0.5367,-0.7178,0.1811
5386,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005386.jpg,-0.7619,-1.0457,0.2838,-1.125,-1.3515,0.2265,-0.2409,-0.3676,0.1267,1.1808,1.0245,0.1563,0.6399,0.7434,0.1035,0.034,-0.0318,0.0658,0.3238,0.4655,0.1417
5388,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005388.jpg,-0.0295,0.0333,0.0628,1.0983,0.9369,0.1614,0.3854,0.5304,0.145,-0.4687,-0.48,0.0113,-0.3386,-0.4509,0.1123,1.1048,1.0609,0.0439,-0.5752,-0.7421,0.1669
5391,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005391.jpg,1.3944,1.2438,0.1506,2.3969,2.3651,0.0318,1.4138,1.4937,0.0799,-0.8486,-0.4298,0.4188,-1.1496,-1.1488,0.0008,-0.6449,-0.5657,0.0792,-0.7909,-0.6709,0.12
5392,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005392.jpg,0.6563,0.6694,0.0131,-0.8469,-0.7885,0.0584,1.0024,0.899,0.1034,-0.9741,-0.7864,0.1877,-0.4299,-0.4135,0.0164,1.437,1.0422,0.3948,-0.6407,-0.5815,0.0592
5396,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005396.jpg,1.3396,1.3138,0.0258,1.0419,1.0339,0.008,-0.8766,-1.1927,0.3161,0.1751,-0.0235,0.1986,-0.518,-0.524,0.006,1.5032,1.6265,0.1233,-0.4681,-0.1347,0.3334
5398,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005398.jpg,-1.471,-1.4832,0.0122,0.1187,0.1234,0.0047,0.2172,0.2628,0.0456,1.2603,1.2403,0.02,0.204,0.0936,0.1104,0.8014,0.75,0.0514,-0.7736,-0.6364,0.1372
5400,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005400.jpg,-0.7519,-0.8833,0.1314,-0.0337,0.1452,0.1789,-0.8112,-0.9124,0.1012,0.9719,0.8873,0.0846,0.8249,0.6448,0.1801,0.9582,1.2787,0.3205,0.7713,0.6889,0.0824
5401,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005401.jpg,-0.0623,0.184,0.2463,-0.8147,-0.7241,0.0906,1.0492,0.9333,0.1159,1.6486,1.727,0.0784,-0.2715,-0.3951,0.1236,0.282,0.436,0.154,-0.4891,-0.6686,0.1795
5405,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005405.jpg,-0.0726,-0.3091,0.2365,2.3357,2.3272,0.0085,0.1517,0.1524,0.0007,1.6041,1.744,0.1399,-0.5629,-0.505,0.0579,-0.2295,-0.1058,0.1237,2.5646,1.8287,0.7359
5406,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005406.jpg,-0.7507,-0.6448,0.1059,0.3742,0.3298,0.0444,0.9183,0.7619,0.1564,0.9452,0.9482,0.003,-0.3432,-0.4008,0.0576,-0.5892,-0.6284,0.0392,0.1518,0.2137,0.0619
5408,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005408.jpg,0.6498,0.8166,0.1668,-0.7158,-0.6235,0.0923,0.6659,0.7099,0.044,0.6181,0.5705,0.0476,-0.9071,-0.917,0.0099,-0.6605,-0.8455,0.185,-0.3832,-0.2518,0.1314
5409,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005409.jpg,1.3191,1.1414,0.1777,-1.3674,-1.5398,0.1724,1.1053,1.1187,0.0134,-1.0138,-1.2187,0.2049,0.841,0.817,0.024,-1.3799,-1.4188,0.0389,-0.7805,-0.9622,0.1817
5410,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005410.jpg,1.4106,1.2622,0.1484,-0.8164,-0.9336,0.1172,0.5911,0.6412,0.0501,-0.1172,0.0454,0.1626,-0.0311,-0.0034,0.0277,-0.4085,-0.4961,0.0876,-0.9675,-0.6585,0.309
5411,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005411.jpg,-0.0412,0.236,0.2772,0.3142,0.2713,0.0429,-2.0732,-2.0084,0.0648,-1.0138,-1.0156,0.0018,-0.3091,-0.3893,0.0802,0.8182,0.7442,0.074,-0.7143,-0.6996,0.0147
5412,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005412.jpg,1.2891,1.1858,0.1033,0.1529,0.0223,0.1306,1.2081,1.0246,0.1835,-1.0138,-0.9611,0.0527,-0.0033,0.18,0.1833,-0.5765,-0.4215,0.155,-0.8219,-0.7626,0.0593
5417,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005417.jpg,0.6091,0.4144,0.1947,-0.3583,-0.4712,0.1129,-1.1758,-0.9744,0.2014,1.4254,1.4017,0.0237,-0.2148,-0.102,0.1128,0.9773,1.2133,0.236,0.2624,0.0645,0.1979
5418,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005418.jpg,2.0519,1.9008,0.1511,-0.6202,-0.5984,0.0218,0.535,0.5283,0.0067,0.4167,0.0981,0.3186,-0.3625,-0.4346,0.0721,0.919,1.048,0.129,-0.6357,-0.8419,0.2062
5426,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005426.jpg,0.6727,0.37,0.3027,-0.9259,-0.958,0.0321,0.507,0.4832,0.0238,0.9306,0.7637,0.1669,-0.2672,-0.3287,0.0615,-0.42,-0.2758,0.1442,3.104,2.9493,0.1547
5427,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005427.jpg,-0.7504,-0.6733,0.0771,-0.2907,-0.4758,0.1851,0.7594,0.5493,0.2101,0.0637,0.2533,0.1896,1.4693,1.3648,0.1045,-1.0055,-1.369,0.3635,0.4105,0.1614,0.2491
5428,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005428.jpg,-1.4824,-1.1677,0.3147,0.807,0.7917,0.0153,0.6659,0.5066,0.1593,1.4424,1.6213,0.1789,-0.4514,-0.4566,0.0052,0.3155,0.345,0.0295,0.2526,0.3599,0.1073
5431,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005431.jpg,-0.7597,-0.8776,0.1179,-1.0284,-1.1522,0.1238,1.0959,1.0799,0.016,1.3044,1.3058,0.0014,-0.507,-0.4633,0.0437,-0.0652,-0.436,0.3708,2.4851,2.3785,0.1066
5433,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005433.jpg,0.6637,0.5713,0.0924,-0.7373,-0.9488,0.2115,0.5818,0.3067,0.2751,-1.0138,-0.932,0.0818,0.7252,0.7093,0.0159,1.065,0.8855,0.1795,1.7473,1.6388,0.1085
5435,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005435.jpg,-0.0307,0.1067,0.1374,0.4133,0.3446,0.0687,0.7033,0.7372,0.0339,-0.9622,-0.9147,0.0475,-0.2922,-0.269,0.0232,0.6248,0.5379,0.0869,3.1378,2.9556,0.1822
5436,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005436.jpg,-0.7632,-0.677,0.0862,-0.4647,-0.6505,0.1858,0.3013,0.3035,0.0022,1.0041,1.0179,0.0138,-0.3218,-0.3202,0.0016,0.9912,1.1897,0.1985,1.0527,1.1424,0.0897
5437,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005437.jpg,-1.4839,-1.2666,0.2173,0.8986,0.6895,0.2091,0.2639,0.2422,0.0217,1.2166,1.2146,0.002,1.1627,1.498,0.3353,-1.0032,-0.9189,0.0843,3.133,3.0783,0.0547
5440,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005440.jpg,0.6901,0.7251,0.035,-0.6645,-0.6694,0.0049,-0.1755,-0.1317,0.0438,-1.0138,-1.1019,0.0881,0.9188,1.0033,0.0845,-0.8532,-0.9744,0.1212,0.0199,0.2274,0.2075
5442,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005442.jpg,-0.1243,-0.2261,0.1018,0.4211,0.2752,0.1459,1.0398,1.072,0.0322,-0.4323,-0.309,0.1233,-0.1854,-0.5002,0.3148,-1.5085,-1.567,0.0585,-0.864,-0.5741,0.2899
5445,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005445.jpg,-1.4824,-1.1383,0.3441,-1.0415,-0.8159,0.2256,0.5631,0.5084,0.0547,-0.6722,-0.6187,0.0535,-0.0473,-0.0269,0.0204,-1.2263,-1.2315,0.0052,0.0514,0.1247,0.0733
5446,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005446.jpg,-0.7619,-0.6215,0.1404,-0.5147,-0.3467,0.168,0.6472,0.3291,0.3181,-0.8891,-0.9249,0.0358,-0.2211,-0.1922,0.0289,0.2013,0.2035,0.0022,1.9566,1.7689,0.1877
5451,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005451.jpg,1.0822,1.2543,0.1721,-0.3949,-0.4598,0.0649,0.9557,0.9227,0.033,0.1902,0.0614,0.1288,6.2712,5.4627,0.8085,0.7481,0.5797,0.1684,-0.7934,-0.5901,0.2033
5453,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005453.jpg,-0.0424,-0.016,0.0264,2.0011,1.7359,0.2652,0.32,0.471,0.151,-1.0138,-1.0243,0.0105,-0.5281,-0.4006,0.1275,-0.9282,-1.0569,0.1287,-0.2129,-0.4681,0.2552
5454,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005454.jpg,0.6591,0.3924,0.2667,-0.7709,-0.7494,0.0215,-0.0352,-0.0246,0.0106,-1.0138,-1.0567,0.0429,-0.3238,-0.3202,0.0036,1.2432,1.2655,0.0223,-0.9334,-1.0681,0.1347
5463,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005463.jpg,-0.7833,-0.8389,0.0556,-1.3454,-1.368,0.0226,0.5537,0.3834,0.1703,1.1758,1.1702,0.0056,-0.5137,-0.496,0.0177,-1.0495,-1.0838,0.0343,-0.4975,-0.1823,0.3152
5465,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005465.jpg,-0.0437,0.1297,0.1734,-1.1698,-1.2741,0.1043,0.1424,-0.0288,0.1712,-1.0138,-1.2169,0.2031,-0.4593,-0.4529,0.0064,-1.2728,-1.4677,0.1949,1.3189,1.8017,0.4828
5467,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005467.jpg,-0.0303,-0.4117,0.3814,0.5264,0.4232,0.1032,0.5163,0.4508,0.0655,-1.0138,-1.071,0.0572,-0.4177,-0.4822,0.0645,0.1841,0.2736,0.0895,1.6095,1.5027,0.1068
5469,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005469.jpg,-0.7507,-0.9014,0.1507,-1.1591,-1.3452,0.1861,0.5444,0.691,0.1466,-0.6318,-0.8908,0.259,-0.8098,-0.8121,0.0023,1.4607,1.6223,0.1616,-0.8599,-0.7489,0.111
5471,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/005471.jpg,-0.7597,-0.4953,0.2644,0.1185,0.0443,0.0742,1.1053,0.8357,0.2696,0.7442,0.7485,0.0043,-0.493,-0.5114,0.0184,0.9719,1.3377,0.3658,-0.9019,-1.3352,0.4333
